Model,Accuracy,Precision_macro,Recall_macro,F1_macro
CatBoost_Weighted,0.47224523612261804,0.4449748180021025,0.44194644349647766,0.4427570645802424
XGBoost_Tuned_F1,0.4647887323943662,0.44640753440599834,0.43991782095269666,0.44128469829961947
XGBoost_Weighted,0.4664457332228666,0.4431954906255144,0.43739521628739775,0.43908502434995555
RandomForest,0.49544324772162385,0.42630902260226805,0.4433772746514939,0.43092611951903753
LightGBM_Weighted,0.46064623032311514,0.4202069716775599,0.42592902880115097,0.42229014104646057
XGBoost_Unweighted,0.5327257663628832,0.4081541471490115,0.44660819007753133,0.39283308400445777
